animalID	animalSide	femurSide	force	testMethod	implantType	time
1	Right	Medial	24.854	Tension	BAE+DCD	168
2	Left	Lateral	40.381	Tension	BAE+DCD	168
2	Left	Medial	11.328	Tension	BAE+DCD	168
2	Right	Medial	21.729	Tension	BAE	168
3	Left	Medial	24.414	Tension	BAE	168
3	Right	Medial	32.666	Tension	BAE+DCD	168
4	Right	Lateral	8.105	Tension	BAE	168
4	Right	Medial	31.982	Tension	BAE	168
5	Left	Medial	38.428	Tension	BAE	168
5	Right	Lateral	42.041	Tension	BAE+DCD	168
5	Right	Medial	46.338	Tension	BAE+DCD	168
6	Left	Medial	10.01	Tension	BAE	168
6	Right	Medial	45.557	Tension	BAE+DCD	168
7	Left	Medial	27.49	Tension	BAE+DCD	168
7	Right	Lateral	20.361	Tension	BAE	168
7	Right	Medial	24.902	Tension	BAE	168
8	Left	Lateral	30.664	Shear	BAE+DCD	168
8	Left	Medial	41.846	Shear	BAE+DCD	168
8	Right	Lateral	32.129	Shear	BAE	168
8	Right	Medial	38.867	Shear	BAE	168
9	Left	Lateral	19.434	Shear	BAE	168
9	Left	Medial	25.781	Shear	BAE	168
9	Right	Lateral	32.812	Shear	BAE+DCD	168
10	Left	Lateral	29.199	Shear	BAE+DCD	168
10	Right	Medial	70.312	Shear	BAE	168
11	Right	Medial	89.258	Shear	BAE+DCD	168
12	Left	Medial	40.234	Shear	BAE+DCD	168
12	Right	Medial	35.547	Shear	BAE	168
13	Left	Medial	42.236	Shear	BAE	168
13	Right	Lateral	26.758	Shear	BAE+DCD	168
13	Right	Medial	48.633	Shear	BAE+DCD	168
14	Left	Medial	44.043	Shear	BAE+DCD	168
14	Right	Medial	27.637	Shear	BAE	168
21	Left	Lateral	21.924	Tension	BAE	28
21	Right	Lateral	6.299	Tension	BAE+DCD	28
21	Right	Medial	7.959	Tension	BAE+DCD	28
22	Left	Lateral	20.312	Tension	BAE+DCD	28
22	Left	Medial	12.598	Tension	BAE+DCD	28
22	Right	Lateral	12.646	Tension	BAE	28
22	Right	Medial	9.521	Tension	BAE	28
23	Left	Medial	15.43	Tension	BAE	84
23	Right	Lateral	31.299	Tension	BAE+DCD	84
23	Right	Medial	45.166	Tension	BAE+DCD	84
24	Left	Lateral	12.451	Tension	BAE+DCD	84
24	Left	Medial	40.869	Tension	BAE+DCD	84
24	Right	Medial	1.514	Tension	BAE	84
25	Left	Medial	20.801	Tension	BAE	84
25	Right	Lateral	21.143	Tension	BAE+DCD	84
25	Right	Medial	35.889	Tension	BAE+DCD	84
26	Right	Lateral	8.496	Tension	BAE	28
27	Left	Lateral	21.729	Tension	BAE	28
27	Left	Medial	10.303	Tension	BAE	28
27	Right	Lateral	16.895	Tension	BAE+DCD	28
27	Right	Medial	22.412	Tension	BAE+DCD	28
28	Left	Lateral	31.885	Shear	BAE+DCD	84
28	Left	Medial	41.602	Shear	BAE+DCD	84
28	Right	Lateral	27.295	Shear	BAE	84
28	Right	Medial	27.637	Shear	BAE	84
29	Left	Lateral	11.914	Shear	BAE	84
29	Left	Medial	22.266	Shear	BAE	84
29	Right	Medial	67.969	Shear	BAE+DCD	84
30	Left	Lateral	33.447	Shear	BAE+DCD	84
30	Left	Medial	50.928	Shear	BAE+DCD	84
30	Right	Lateral	44.531	Shear	BAE	84
30	Right	Medial	34.961	Shear	BAE	84
31	Left	Lateral	21.289	Shear	BAE	84
31	Left	Medial	35.693	Shear	BAE	84
31	Right	Lateral	43.457	Shear	BAE+DCD	84
31	Right	Medial	59.912	Shear	BAE+DCD	84
32	Left	Lateral	41.064	Shear	BAE+DCD	84
32	Left	Medial	29.785	Shear	BAE+DCD	84
32	Right	Lateral	26.074	Shear	BAE	84
32	Right	Medial	70.508	Shear	BAE	84
