animalID	Left	Right	Surgery_Date	Sacrifice_Date	testMeth
1	A	B	2013-11-21	2014-05-08	T
2	B	A	2013-11-21	2014-05-08	T
3	A	B	2013-11-21	2014-05-08	T
4	B	A	2013-11-21	2014-05-08	T
5	A	B	2013-11-21	2014-05-08	T
6	A	B	2013-11-21	2014-05-08	T
7	B	A	2013-11-21	2014-05-08	T
8	B	A	2013-11-25	2014-05-12	S
9	A	B	2013-11-25	2014-05-12	S
10	B	A	2013-11-25	2014-05-12	S
11	A	B	2013-11-25	2014-05-12	S
12	B	A	2013-11-25	2014-05-12	S
13	A	B	2013-11-25	2014-05-12	S
14	B	A	2013-11-25	2014-05-12	S
15	A	B	2013-11-07	NA	NA
16	B	A	2013-11-07	NA	NA
17	A	B	2013-11-07	NA	NA
18	B	A	2013-11-07	NA	NA
19	A	B	2013-11-07	NA	NA
20	B	A	2013-11-07	NA	NA
21	A	B	2014-01-15	2014-02-12	T
22	B	A	2014-01-15	2014-02-12	T
23	A	B	2014-01-15	2014-04-09	T
24	B	A	2014-01-15	2014-04-09	T
25	A	B	2014-01-15	2014-04-09	T
26	B	A	2014-01-16	2014-02-13	T
27	A	B	2014-01-16	2014-02-13	T
28	B	A	2014-01-16	2014-04-10	S
29	A	B	2014-01-16	2014-04-10	S
30	B	A	2014-01-16	2014-04-10	S
31	A	B	2014-01-16	2014-04-10	S
32	B	A	2014-01-16	2014-04-10	S
33	A	B	2014-01-16	2014-04-10	S
34	B	A	2014-01-20	2014-04-14	T
35	A	B	2014-01-20	2014-04-14	T
36	B	A	2014-01-20	2014-04-14	T
37	A	B	2014-01-20	2014-04-14	T
38	B	A	2014-01-20	2014-04-14	T
39	A	B	2014-01-20	2014-04-14	T
40	B	A	2014-01-20	2014-04-14	T
41	A	B	2014-01-21	2014-02-18	S
42	B	A	2014-01-21	2014-02-18	S
43	A	B	2014-01-21	2014-04-15	T
44	B	A	2014-01-21	2014-04-15	S
45	A	B	2014-01-21	2014-04-15	S
46	B	A	2014-01-21	2014-04-15	S
47	A	B	2014-01-22	2014-02-19	T
48	B	A	2014-01-22	2014-02-19	T
49	A	B	2014-01-22	2014-02-19	T
50	B	A	2014-01-22	2014-02-19	T
51	A	B	2014-01-22	2014-02-19	S
52	B	A	2014-01-22	2014-02-19	S
53	A	B	2014-01-22	2014-02-19	S
54	B	A	2014-01-27	2014-02-24	T
55	A	B	2014-01-27	2014-02-24	T
56	B	A	2014-01-27	2014-02-24	S
57	A	B	2014-01-27	2014-02-24	S
58	B	A	2014-01-27	2014-02-24	S
59	A	B	2014-01-27	2014-02-24	S
60	B	A	2014-01-27	2014-02-24	S
61	A	B	2014-01-29	2014-02-12	T
62	B	A	2014-01-29	2014-02-12	T
63	A	B	2014-01-29	2014-02-12	T
64	B	A	2014-01-29	2014-02-12	T
65	A	B	2014-01-29	2014-02-12	T
66	B	A	2014-01-29	NA	NA
67	A	B	2014-01-30	2014-02-13	S
68	B	A	2014-01-30	2014-02-13	T
69	A	B	2014-01-30	2014-02-13	T
70	B	A	2014-01-30	2014-02-13	T
71	A	B	2014-01-30	2014-02-13	T
72	B	A	2014-01-30	2014-02-13	T
73	A	B	2014-01-30	2014-02-13	S
74	B	A	2014-02-04	2014-02-18	S
75	A	B	2014-02-04	2014-02-18	S
76	B	A	2014-02-04	2014-02-18	S
77	A	B	2014-02-04	2014-02-18	S
78	B	A	2014-02-04	2014-02-18	S
79	A	B	2014-02-04	2014-02-18	S
80	B	A	2014-02-04	2014-02-18	S
81	A	B	2014-03-12	2014-03-21	T
82	B	A	2014-03-12	2014-03-21	T
83	A	B	2014-03-12	2014-03-21	T
84	B	A	2014-03-12	2014-03-21	T
85	A	B	2014-03-12	2014-03-21	T
86	B	A	2014-03-12	2014-03-21	T
87	A	B	2014-03-12	2014-03-21	T
88	B	A	2014-03-17	2014-03-26	S
89	A	B	2014-03-17	2014-03-26	S
90	B	A	2014-03-17	2014-03-26	S
91	A	B	2014-03-17	2014-03-26	S
92	B	A	2014-03-17	2014-03-26	S
93	A	B	2014-03-25	2014-04-03	S
94	B	A	2014-03-17	2014-03-26	S
95	A	B	2014-03-25	2014-04-03	S
96	B	A	2014-03-25	2014-04-03	S
97	A	B	2014-03-25	2014-04-03	S
98	B	A	2014-03-25	2014-04-03	T
99	A	B	2014-03-25	2014-04-03	T
100	B	A	2014-03-25	2014-04-03	T
101	A	B	2014-03-19	NA	NA
102	B	A	2014-03-19	2014-03-24	T
103	A	B	2014-03-19	2014-03-24	T
104	B	A	2014-03-19	2014-03-24	T
105	A	B	2014-03-19	2014-03-24	T
106	B	A	2014-03-19	2014-03-24	T
107	A	B	2014-03-19	2014-03-24	T
108	B	A	2014-04-02	2014-04-07	S
109	A	B	2014-04-02	2014-04-07	S
110	B	A	2014-04-02	2014-04-07	S
111	A	B	2014-04-02	2014-04-07	S
112	B	A	2014-04-02	2014-04-07	S
113	A	B	2014-04-02	2014-04-07	S
114	B	A	2014-04-02	2014-04-07	S
115	A	B	2014-04-16	2014-04-21	T
116	B	A	2014-04-16	2014-04-21	T
117	A	B	2014-04-16	2014-04-21	T
118	B	A	2014-04-16	2014-04-21	S
119	A	B	2014-04-16	2014-04-21	S
120	B	A	2014-04-16	2014-04-21	S
121	A	B	2014-01-29	2014-02-25	T
122	B	A	2014-01-29	2014-02-25	S
123	B	A	2014-02-04	2014-02-18	S
